,ID,X,Y,H,H_err,J,J_err,K,K_err,chi,sharp,ra,dec,rgc
8147,26158,3977.917,3270.708,22.140500000000003,0.0371,22.107,0.0804,21.232,0.0572,0.4330,-0.2080,204.17551504278384,-29.81229184377671,8.291156532546399
8149,26250,3833.147,3270.831,21.326500000000003,0.0209,21.11,0.0435,20.348,0.0303,0.4460,-0.0410,204.1829306557771,-29.812286398650315,7.822939364675085
8157,5470,3527.715,3271.121,22.1175,0.0438,22.116,0.1000,21.518,0.0788,0.4700,-0.3607,204.19857592060455,-29.8122721970456,6.896667756007334
8159,26186,3607.616,3271.154,20.2905,0.0136,20.119999999999997,0.0275,19.358,0.0167,0.5167,0.1923,204.19448311974773,-29.812271251772266,7.12996615534338
8162,5451,3328.191,3271.257,21.791500000000003,0.0354,21.461,0.0715,20.778,0.0473,0.5227,0.1533,204.2087962149551,-29.81226429994251,6.350376992259297
8166,26194,4186.519,3271.286,22.625500000000002,0.0554,22.378999999999998,0.0966,21.891,0.0960,0.4613,-0.3633,204.16482974095496,-29.812265395769767,8.992918774567578
8169,5477,3971.301,3271.397,22.0275,0.0345,21.908,0.0714,21.468999999999998,0.0718,0.4603,-0.0683,204.17585393801784,-29.81226123156753,8.271262376251025
8170,5460,3854.686,3271.461,22.9555,0.0770,22.909999999999997,0.1619,22.384999999999998,0.1735,0.4423,-0.1777,204.1818273541731,-29.812258421662694,7.893386407510552
8171,26088,3570.080,3271.501,21.945500000000003,0.0393,21.911,0.0765,21.391,0.0690,0.4603,-0.0817,204.19640583857847,-29.812255600316902,7.020572944209968
8177,5510,4105.398,3271.688,21.5115,0.0276,21.266,0.0539,20.538999999999998,0.0368,0.5380,0.0880,204.16898503588916,-29.81224792645215,8.718497233112167
8197,5000107,4320.331,3272.386,22.753500000000003,0.0646,22.808,0.1544,21.942999999999998,0.0989,0.4953,-0.5427,204.15797544694013,-29.81221556737381,9.457670994114622
8198,5423,3881.851,3272.407,21.2435,0.0202,21.058,0.0369,20.192999999999998,0.0303,0.4853,-0.2473,204.18043587033688,-29.812216393173745,7.983152840880742
8201,26197,4436.519,3272.530,22.4985,0.0523,22.220999999999997,0.0818,21.901,0.1184,0.5350,-0.3053,204.1520239085889,-29.8122080647059,9.866039409718125
8210,26190,3938.439,3272.872,22.364500000000003,0.0495,22.238999999999997,0.1013,21.599999999999998,0.0800,0.4877,0.0903,204.17753724258228,-29.812195712931267,8.167722461922654
8217,26203,3989.658,3273.245,21.5075,0.0259,21.433999999999997,0.0551,20.808,0.0452,0.4917,-0.2083,204.1749136340137,-29.812179068326895,8.33663532845778
8231,26212,3305.641,3273.760,21.4005,0.0231,21.256999999999998,0.0543,20.509999999999998,0.0358,0.4910,0.0540,204.209951268528,-29.812152796668208,6.300684940773128
8238,5489,3577.661,3274.000,20.977500000000003,0.0165,20.522,0.0306,20.024,0.0208,0.5100,0.0403,204.19601749584933,-29.812144582197618,7.050462000146147
8244,26174,3831.536,3274.177,21.494500000000002,0.0229,21.39,0.0467,20.744,0.0415,0.4170,0.1577,204.18301317162528,-29.8121376854531,7.827277078582336
8264,26202,3877.942,3275.046,22.0195,0.0361,21.848,0.0680,21.25,0.0667,0.4523,-0.3037,204.18063610129374,-29.812099102889395,7.977929678688913
8273,26232,3240.072,3275.377,20.4525,0.0139,20.287999999999997,0.0311,19.521,0.0181,0.5333,-0.2027,204.21330990653252,-29.81208012029458,6.1420201101583665
8279,5547,3562.495,3275.630,20.785500000000003,0.0143,20.561,0.0299,19.772,0.0193,0.4430,-0.1923,204.19679433644723,-29.81207203951562,7.011256402512688
8282,26249,3530.169,3275.801,22.320500000000003,0.0540,22.025,0.0891,21.564999999999998,0.0820,0.4923,0.0777,204.19845017920863,-29.812064214951974,6.918399714200438
8284,5532,3866.464,3275.818,21.9295,0.0366,21.878,0.0804,21.099,0.0549,0.4600,-0.1670,204.18122404191544,-29.812064785929866,7.94327338476415
8288,5533,3976.073,3276.034,22.2405,0.0414,21.988,0.0719,21.275,0.0622,0.4270,0.1670,204.1756095082175,-29.81205513554869,8.299442911031722
8290,5536,4095.465,3276.059,22.410500000000003,0.0532,22.247999999999998,0.1005,21.468999999999998,0.0730,0.4693,0.1503,204.16949385743644,-29.81205369951334,8.696368200851122
8291,5538,4172.524,3276.211,21.9055,0.0344,21.775,0.0618,21.115,0.0578,0.4563,-0.3197,204.16554664313398,-29.81204658472145,8.957589729534243
8292,5498,3441.847,3276.231,21.3825,0.0240,21.333999999999996,0.0485,20.532999999999998,0.0347,0.4757,0.1537,204.2029743179805,-29.812044385034273,6.671232352891443
8293,26262,3574.164,3276.235,20.8825,0.0179,20.789,0.0343,19.869,0.0231,0.4427,-0.1897,204.1961966073661,-29.812045226620686,7.0471408163547995
8294,26278,3145.791,3276.280,22.8425,0.1053,,,21.913,0.1535,0.5995,-3.8505,204.21813927352702,-29.81203867383049,5.922391356504315
