,ID,X,Y,H,H_err,J,J_err,K,K_err,chi,sharp,ra,dec
10904,154033,2656.190,810.063,20.660999999999998,0.0311,21.298000000000002,0.0216,20.5565,0.0563,0.5807,-0.1087,152.72794866394096,-4.7070265554001995
10906,5007832,1599.712,810.228,22.624,0.1691,22.893,0.0734,21.982499999999998,0.2514,0.5537,-1.1850,152.7750621050067,-4.707018754088562
10908,154034,2670.885,810.307,22.003999999999998,0.0918,22.362000000000002,0.0454,21.5165,0.1254,0.6303,-1.5733,152.7272933434044,-4.707015695138514
10909,154044,2788.309,810.368,21.753,0.0721,22.276,0.0447,21.6935,0.1493,0.6483,0.1013,152.7220568422291,-4.707012835501816
10910,154028,1936.978,810.459,21.822,0.0775,22.264,0.0456,21.6165,0.1258,0.6130,-0.1893,152.7600217913673,-4.707008981115693
10914,154037,1222.952,810.634,22.435,0.1237,23.134,0.0911,,,0.5655,-1.7215,152.79186363959482,-4.706999776361417
10915,154031,2220.324,810.645,20.657999999999998,0.0448,21.326,0.0221,20.447499999999998,0.0673,0.7380,-0.7723,152.7473860285608,-4.7070008796266665
10917,154045,3038.326,811.295,22.078,0.1048,22.528000000000002,0.0558,21.8735,0.1615,0.6630,-0.0333,152.710907384363,-4.706971188928935
10919,154038,1750.603,811.340,22.421,0.1074,23.187,0.1050,,,0.5255,-2.9135,152.76833314816088,-4.706969592720608
10920,47378,3905.918,811.362,15.815999999999999,0.0082,16.387999999999998,0.0078,15.7065,0.0108,1.7323,-0.6767,152.6722173143941,-4.706965285083904
10921,154039,1792.967,811.380,18.665999999999997,0.0101,19.291,0.0070,18.4305,0.0143,0.5537,-0.5163,152.76644393366422,-4.706967876542116
10922,154040,1872.806,811.411,19.285,0.0162,20.102,0.0099,19.0555,0.0204,0.5897,-0.4147,152.76288352864404,-4.706966601003652
10925,5007835,1655.406,811.656,22.697999999999997,0.1806,23.580000000000002,0.1513,,,0.5090,-1.4585,152.7725784393349,-4.70695539129449
10926,5007836,2477.998,811.696,22.023999999999997,0.0989,22.952,0.0742,,,0.4875,-0.0825,152.73589510434266,-4.706954120916132
10930,154052,1667.447,812.088,21.168999999999997,0.0484,21.868000000000002,0.0318,21.0695,0.0827,0.5997,-1.2800,152.77204147255642,-4.70693621260157
10934,154065,1472.031,812.745,19.133,0.0133,19.811,0.0081,18.8785,0.0175,0.5517,-0.4813,152.78075600830235,-4.706906616438323
10935,154070,2352.221,812.771,22.255,0.1084,22.694,0.0671,,,0.5625,-0.7035,152.74150410640408,-4.706906390012047
10942,154067,2023.841,813.260,22.820999999999998,0.1176,22.935000000000002,0.0721,21.9865,0.2274,0.5387,-0.2970,152.75614814990976,-4.7068845672515875
10943,5007839,1532.999,813.663,22.683999999999997,0.2000,23.423000000000002,0.1231,,,0.5355,-2.5785,152.77803715093324,-4.706865951745544
10946,154075,1358.828,813.842,22.029,0.0895,22.534,0.0541,21.8755,0.1568,0.6027,-0.2613,152.78580426953542,-4.70685758185578
10950,154079,2209.868,814.443,21.532,0.0667,22.315,0.0463,21.418499999999998,0.1378,0.6833,-0.3990,152.74785231117463,-4.706832077804867
10954,154077,2111.823,814.824,21.480999999999998,0.0667,21.638,0.0284,21.7315,0.1671,0.6867,-0.9350,152.75222460872868,-4.706815110219411
10956,154089,2770.904,815.019,21.808,0.0733,22.348,0.0425,21.8215,0.2278,0.6437,-0.1293,152.72283302127585,-4.706806149164995
10957,47404,2081.322,815.234,21.157,0.0445,21.861,0.0318,21.1305,0.0964,0.6163,-0.4083,152.75358479461966,-4.706796871794281
10958,5007840,2885.477,815.255,22.749,0.1840,23.116,0.0878,,,0.5030,-0.5185,152.71772366204127,-4.706795483309895
10959,154086,1816.884,815.488,20.502,0.0326,20.683,0.0146,20.4975,0.0528,0.6200,-0.5443,152.76537735423614,-4.706785331542489
10960,154099,2040.977,815.763,19.189999999999998,0.0155,19.82,0.0086,19.0165,0.0197,0.5947,-0.3470,152.7553839715736,-4.706773335193602
10961,154101,3646.501,815.905,17.555999999999997,0.0104,17.954,0.0080,17.4335,0.0097,0.8820,-0.5710,152.6837859692359,-4.706764473197571
