,ID,X,Y,J,J_err,H,H_err,K,K_err,chi,sharp,ra,dec,rgc
64905,144299,2788.148,3949.836,19.503,0.0072,18.732000000000003,0.0159,18.4345,0.0108,0.8407,-0.0237,11.807077331879325,-20.77471594566428,5.999698370051795
64912,37908,3194.117,3949.973,20.664,0.0126,19.679000000000002,0.0226,18.9715,0.0120,0.5577,0.1637,11.787779572100593,-20.77471240730169,0.9390948761315614
64945,37939,3687.105,3951.093,21.063000000000002,0.0154,20.264000000000003,0.0323,19.8855,0.0229,0.7417,-0.3097,11.764345360511452,-20.77466282868996,7.995029649530949
64954,37932,3119.605,3951.350,20.993000000000002,0.0151,20.051000000000002,0.0271,19.5655,0.0180,0.5477,0.2313,11.791321497649607,-20.77465090068905,1.1968227689954394
64958,144318,2627.821,3951.388,20.927,0.0149,20.152,0.0364,19.7185,0.0262,0.9040,-0.2433,11.814698464753642,-20.774645366923682,8.458586406501297
64980,144346,3450.326,3952.281,20.113,0.0091,19.211000000000002,0.0143,18.7595,0.0122,0.5563,-0.3387,11.775600660866562,-20.77461032974635,4.376228569842803
64999,144364,2883.650,3952.829,21.246000000000002,0.0179,20.118000000000002,0.0300,19.4075,0.0183,0.7263,-0.2677,11.802537614847587,-20.774583717360056,4.547999078382244
65008,144393,3176.591,3952.987,20.453000000000003,0.0113,19.756,0.0261,19.3195,0.0149,0.5543,0.2770,11.788612659132614,-20.774578386173296,0.8713651647766804
65011,144377,3488.980,3953.012,19.918,0.0102,18.881,0.0176,18.4835,0.0114,0.7903,0.1530,11.773763241993061,-20.774577841794216,4.961398060808335
65021,37956,3612.054,3953.378,20.339999999999996,0.0125,19.490000000000002,0.0225,19.1985,0.0178,0.7760,0.2950,11.767912917709126,-20.77456144794094,6.840296798951358
65033,144322,3082.359,3953.747,19.957,0.0093,19.476000000000003,0.0209,19.2445,0.0148,0.6177,0.2780,11.793091974659616,-20.77454418688223,1.6437096416079378
65045,38038,3162.066,3954.325,20.674999999999997,0.0136,19.85,0.0215,19.3785,0.0159,0.4917,-0.3020,11.789303099470926,-20.774518862111748,0.881457633118361
65073,38003,3432.687,3955.358,21.537999999999997,0.0209,20.534000000000002,0.0391,20.1485,0.0284,0.5920,0.2413,11.776439129592188,-20.77447356728422,4.103923572449185
65099,144425,3473.560,3956.209,19.756999999999998,0.0082,19.01,0.0163,18.6785,0.0124,0.6817,-0.3997,11.774496232091156,-20.774435754888774,4.721417520548708
65106,144429,4180.866,3956.395,,0.0645,21.532,0.0847,21.2565,0.0883,0.8300,0.3103,11.740874464682472,-20.774424197709777,15.58956941791165
65127,144447,3706.073,3957.170,19.287,0.0053,18.569000000000003,0.0142,18.2915,0.0096,0.7550,-0.1617,11.763443735701523,-20.7743926839921,8.276645711556785
65129,144446,3698.718,3957.345,21.265,0.0176,20.381,0.0349,20.1235,0.0296,0.7643,0.0397,11.763793355888012,-20.77438492842546,8.163396412906014
65137,5001260,2471.033,3957.507,,,22.709,0.2369,22.1545,0.2190,1.4030,-5.6445,11.822151299069107,-20.774371520713395,10.87670887834304
65144,144465,3778.972,3957.593,20.415,0.0103,19.874000000000002,0.0323,19.5565,0.0212,0.8773,-0.0260,11.759978486520012,-20.774373625600248,9.396514540343452
65149,144462,3439.100,3957.661,20.539,0.0113,19.561,0.0205,19.1145,0.0141,0.5800,-0.2667,11.776134286677523,-20.774371214724454,4.196579712739142
65151,38079,3179.889,3957.749,21.302999999999997,0.0180,20.36,0.0369,19.7495,0.0185,0.4940,0.1940,11.788455869236419,-20.774366754403694,0.8628107506937066
65245,144502,3186.777,3960.374,20.674,0.0128,19.838,0.0248,19.3435,0.0165,0.5533,-0.0360,11.78812843804826,-20.774250113710067,0.8743627126413149
65269,144525,3148.955,3961.262,20.485999999999997,0.0112,19.612000000000002,0.0217,19.1985,0.0142,0.5573,-0.0610,11.789926299559866,-20.77421049685611,0.9273022246281535
65325,144570,3297.382,3963.162,18.658,0.0045,17.903000000000002,0.0098,17.5835,0.0066,0.6207,0.0333,11.782870831967822,-20.774126534474817,2.0893570096056275
65341,144594,3684.535,3963.654,20.177999999999997,0.0092,19.389000000000003,0.0197,19.1245,0.0147,0.7500,-0.3060,11.764467562978366,-20.774104569286475,7.935556764696809
65345,5001261,2863.072,3963.789,,,22.277,0.1347,21.8705,0.1185,0.8525,-1.3555,11.803515697095767,-20.77409644537746,4.869242061869913
65362,38256,3578.637,3964.348,20.875,0.0134,20.073,0.0309,19.7025,0.0209,0.6993,-0.3047,11.769501411706434,-20.774073946557447,6.31047111027849
65372,144618,3547.050,3964.664,20.103,0.0086,19.382,0.0207,19.1175,0.0139,0.6820,-0.2660,11.77100289569878,-20.774059939848446,5.826788807378832
65377,144609,3045.812,3964.782,19.081000000000003,0.0055,18.294,0.0121,18.0045,0.0084,0.7217,-0.0713,11.794829170800835,-20.774053547775942,2.1453871835127174
65398,144620,3646.926,3965.345,21.207,0.0162,20.293000000000003,0.0322,19.6925,0.0207,0.6893,-0.1850,11.76625530604552,-20.77402950927242,7.355518696101877
65401,144639,3607.481,3965.454,21.298000000000002,0.0177,20.246000000000002,0.0318,19.6345,0.0196,0.6797,0.1977,11.768130318279928,-20.77402474515104,6.750445088130899
65415,144631,3106.034,3966.037,20.694000000000003,0.0124,19.893,0.0223,19.4165,0.0163,0.5340,-0.0013,11.79196652064063,-20.773998081560272,1.3383916269967455
65529,38367,2737.755,3969.541,21.094,0.0156,20.189,0.0295,19.8875,0.0252,0.7670,0.1397,11.80947256346187,-20.77383970114243,6.789463806001858
65545,38362,3927.288,3969.964,17.747,0.0035,17.014,0.0092,16.674500000000002,0.0052,1.0153,0.0547,11.75292837153604,-20.773823063202936,11.660876698986518
65581,144737,2452.723,3971.201,18.777,0.0046,17.98,0.0116,17.610500000000002,0.0082,0.9013,0.0487,11.823021468531092,-20.773762656991963,11.173716344112899
65657,144803,3622.639,3973.719,20.686,0.0118,19.737000000000002,0.0193,19.3145,0.0164,0.6360,-0.3240,11.767409802554322,-20.773657383392717,6.9694194360681925
65697,144813,2899.969,3975.241,21.07,0.0160,20.436,0.0378,20.0665,0.0275,0.7343,-0.2030,11.80176171196681,-20.773587752393418,4.317844480760798
65704,144824,3710.720,3975.568,21.472,0.0166,20.201,0.0310,19.9135,0.0237,0.7200,-0.0593,11.763222902256556,-20.77357498079275,8.319081349685456
65730,38439,2841.651,3976.328,20.921,0.0141,20.249000000000002,0.0326,19.7965,0.0243,0.7310,-0.3010,11.804533830877773,-20.773538983161153,5.206265058155677
65740,144838,3299.111,3976.430,19.740000000000002,0.0073,18.832,0.0129,18.3705,0.0083,0.4967,-0.1033,11.782788612197301,-20.773536849559832,2.0837785240927866
65761,144859,3207.588,3976.929,20.381999999999998,0.0119,19.651,0.0220,19.3715,0.0171,0.5607,-0.0003,11.787139127877914,-20.77351441067487,0.9512589368958915
65762,38480,4000.166,3976.966,20.475,0.0123,19.775000000000002,0.0302,19.5715,0.0215,0.9150,0.0213,11.749464183942802,-20.773511394116507,12.77348374455101
65785,144874,3070.696,3977.579,17.965,0.0035,17.899,0.0128,17.6285,0.0076,0.8097,-0.1353,11.793646241912134,-20.773484926785862,1.7969500196748134
65820,144897,2621.451,3978.813,19.277,0.0061,18.481,0.0128,18.1395,0.0102,0.8313,-0.3770,11.815000936992671,-20.77342640789145,8.584906734569065
65830,144892,2010.077,3978.976,16.386,0.0039,16.87,0.0259,15.7085,0.0068,1.8363,-0.3667,11.844062361079457,-20.773409922880088,18.008021527059807
65841,144899,2810.871,3979.342,20.911,0.0128,20.253,0.0339,20.0445,0.0255,0.7267,-0.1800,11.805996920509582,-20.77340476790464,5.6791418639375735
65854,144921,2790.284,3979.717,21.055999999999997,0.0156,20.025000000000002,0.0286,19.7075,0.0215,0.7350,0.3403,11.80697551251351,-20.773387920608368,5.994460388200299
