,ID,X,Y,J,J_err,K,K_err,chi,sharp,ra,dec
52285,161701,984.460,4058.980,19.726,0.0102,18.832,0.0153,0.4975,-0.0135,205.1001390568815,-31.612015790644325
52286,161705,2604.698,4059.008,22.975,0.0768,21.826999999999998,0.0770,0.3995,-0.0640,205.01558162118545,-31.612034088890212
52291,45073,2766.850,4059.495,22.9,0.0641,21.751,0.0750,0.3730,-0.4940,205.00711918902144,-31.6120113338552
52294,161724,3194.949,4059.653,22.99,0.0781,22.222,0.1153,0.4280,-0.3915,204.98477744424932,-31.61199869860718
52296,161725,3223.412,4059.860,23.167,0.0834,22.154,0.1098,0.4260,-0.4740,204.98329201434387,-31.611988987544237
52299,45088,2581.782,4059.958,23.364,0.1110,22.349,0.1206,0.4185,-0.6305,205.01677757348244,-31.61199197863724
52302,161722,2898.836,4060.045,21.279,0.0208,19.667,0.0168,0.3875,-0.1730,205.00023107379624,-31.611985573540558
52311,45089,2763.664,4060.776,23.049,0.0793,21.897,0.0898,0.3715,-1.9955,205.0072854736947,-31.611954427734354
52313,161739,2810.102,4060.865,23.106,0.0906,22.076,0.1000,0.4365,-1.0540,205.00486195665056,-31.611950054490258
52314,161737,2571.412,4060.965,21.613,0.0242,20.147,0.0213,0.3620,0.0305,205.01731877115876,-31.611947270094703
52318,161732,2137.507,4061.169,22.083,0.0437,20.85,0.0517,0.5390,-0.3595,205.0399635144406,-31.6119381247961
52320,5014488,5448.795,4061.520,21.806,0.0423,21.064,0.0674,0.4555,-0.6530,204.8671536404838,-31.61182203761861
52322,161752,2263.076,4061.730,21.62,0.0315,19.77,0.0237,0.5195,-0.1715,205.03341028685804,-31.61191362500672
52324,161754,2846.270,4061.743,20.441,0.0123,19.602,0.0159,0.3915,-0.2685,205.00297442267856,-31.61191067526725
52329,161751,1812.021,4062.115,22.703,0.0659,21.79,0.0958,0.4800,0.1220,205.0569500438599,-31.611893398963446
52330,161760,3479.154,4062.207,23.27,0.0879,22.455,0.1341,0.3975,-0.8125,204.9699453548226,-31.61187931338517
52332,45109,3333.711,4062.346,23.527,0.1166,22.667,0.1593,0.4040,-0.2525,204.97753576316688,-31.611876355865213
52334,161756,2941.978,4062.447,21.813,0.0298,20.641,0.0338,0.4075,-0.9230,204.9979796023756,-31.611878307747265
52337,161758,3141.260,4062.495,22.543,0.0508,21.423,0.0575,0.4020,0.1085,204.98757943486905,-31.611873304777024
52338,161755,2887.432,4062.575,23.09,0.0848,22.069,0.0944,0.4010,-1.0330,205.00082626186386,-31.611873257422214
52346,45108,2709.266,4063.155,23.163,0.0836,22.172,0.0971,0.3595,0.2120,205.0101244308519,-31.61184912552171
52347,161775,2524.838,4063.214,23.814,0.1530,22.761,0.1913,0.4490,-1.2750,205.01974939594743,-31.611847497519346
52348,161771,943.400,4063.227,15.707,0.0057,15.239,0.0053,1.0805,0.0565,205.10228175483397,-31.611825816322114
52349,161770,779.940,4063.230,23.789,0.1508,22.113,0.1271,0.4695,0.3155,205.11081242166625,-31.611820475608596
52350,5014493,6101.088,4063.239,20.955,0.0245,20.249,0.0320,0.4155,-0.7245,204.83311210620786,-31.611698412964085
52358,161776,3915.506,4063.704,23.208,0.0785,22.546,0.1269,0.3670,-1.6920,204.94717301084575,-31.611800425417197
52359,161792,2947.781,4063.860,21.851,0.0298,20.722,0.0345,0.3965,-0.3615,204.99767677483723,-31.611815436121315
52363,161790,2394.182,4064.209,22.458,0.0542,21.502,0.0706,0.4540,-0.2220,205.02656809795985,-31.611803542876196
52367,161791,2932.930,4064.420,22.885,0.0773,21.839,0.0818,0.4340,-1.3335,204.9984518292825,-31.611790729183152
52368,161789,2001.681,4064.473,23.513,0.1250,22.846,0.2651,0.4810,-1.5740,205.04705200536958,-31.611790434754912
52371,161795,3678.218,4064.625,22.814,0.0602,21.807,0.0801,0.4070,-1.2005,204.95955665029248,-31.61176671174605
52374,161805,2034.289,4064.767,21.512,0.0281,20.479,0.0333,0.4750,-0.3330,205.04535025136587,-31.611777606814805
52377,161810,2584.889,4064.966,23.426,0.1149,22.333,0.1359,0.4110,-2.6190,205.01661545221327,-31.61176938639254
52378,161812,2958.336,4065.143,23.167,0.0928,22.421,0.1458,0.4115,-2.0710,204.9971259477753,-31.61175828176614
52379,45127,2386.677,4065.277,22.605,0.0594,21.435,0.0581,0.4015,0.2895,205.0269597708358,-31.61175608058954
52385,161811,2610.182,4065.645,23.209,0.0991,22.15,0.1006,0.4035,0.1115,205.01529546145218,-31.611739082747846
52386,45107,2184.515,4065.670,19.778,0.0121,18.747,0.0135,0.5630,-0.2275,205.03751022924553,-31.611738281884698
52387,45145,2767.450,4065.676,23.596,0.1115,22.738,0.1737,0.3780,-2.6330,205.00708793839013,-31.611736617685143
52388,161822,2624.600,4065.778,22.987,0.0789,22.016,0.0984,0.4260,-0.6100,205.01454301378428,-31.611733093810077
52390,161823,2785.862,4065.893,21.615,0.0278,20.608999999999998,0.0323,0.4240,0.1660,205.0061270528293,-31.6117268116328
52392,45129,2569.369,4066.018,23.105,0.0797,22.579,0.1520,0.3835,-1.1215,205.01742541776315,-31.611722701367235
52394,161826,3069.881,4066.143,22.946,0.0791,21.98,0.0937,0.4275,0.3185,204.99130464018805,-31.611712296229026
52397,161827,3113.799,4066.300,22.008,0.0348,20.929,0.0382,0.3945,-0.7345,204.9890126460317,-31.611704639243243
52398,161828,4216.740,4066.417,23.331,0.0962,22.445,0.1819,0.4325,0.1900,204.9314523179981,-31.611668961524018
52399,161840,2774.932,4066.456,23.105,0.0875,21.875,0.0881,0.4320,-2.2340,205.0066974748125,-31.611701886224093
52403,161839,2759.799,4066.853,22.742,0.0607,20.173,0.0241,0.4325,-1.2940,205.0074872414223,-31.611684371631426
52406,45144,2705.578,4067.185,23.273,0.0924,22.505,0.1400,0.3400,-0.5195,205.0103169353427,-31.611670041417426
52407,161846,2315.813,4067.493,22.724,0.0716,21.835,0.1096,0.5370,-1.3090,205.03065802909916,-31.611657574049584
52409,45151,2790.197,4067.672,22.917,0.0722,21.889,0.0750,0.3590,0.3005,205.0059008362625,-31.611647705895344
52411,161853,4062.468,4067.722,16.592,0.0065,15.803,0.0074,1.1070,-0.3050,204.93950351768578,-31.6116167773695
52412,161851,3274.979,4067.905,23.037,0.0757,22.271,0.1031,0.3790,0.2235,204.98060100589552,-31.611630462503456
52415,161850,3178.742,4068.225,21.898,0.0314,20.85,0.0350,0.3830,-0.1165,204.98562343372026,-31.611618004353282
52420,161862,2598.812,4068.864,22.725,0.0675,21.732,0.0783,0.4410,0.2055,205.01588885948314,-31.61159607438473
52423,161866,2729.483,4068.978,22.557,0.0563,21.23,0.0507,0.4195,-1.8320,205.00906939533414,-31.611590172718962
52424,161852,3298.300,4068.981,23.623,0.1181,22.959,0.2216,0.3830,-1.5795,204.97938395359702,-31.61158218324518
52425,161869,3793.400,4069.061,23.388,0.0992,22.762,0.1655,0.3935,-0.3720,204.95354568086677,-31.611566201152687
52426,161864,2649.409,4069.224,22.763,0.0603,21.631,0.0690,0.3925,-1.1920,205.01324830303926,-31.61157979405423
52427,161865,2689.093,4069.326,21.762,0.0322,20.632,0.0377,0.4590,-0.9175,205.0111772734972,-31.611575002840237
52428,161867,3237.498,4069.382,23.295,0.0976,22.242,0.1050,0.3810,-2.4520,204.9825570983033,-31.61156552850359
52429,161877,2538.545,4069.386,22.768,0.0696,21.725,0.0790,0.4485,-1.0735,205.0190340793416,-31.61157313741579
52434,161876,2489.182,4069.690,22.603,0.0582,21.685,0.0696,0.4055,0.0200,205.02161023870792,-31.61155978432878
52435,161868,3246.076,4069.833,22.609,0.0511,21.732,0.0704,0.3760,0.0525,204.98210943947174,-31.611545324115877
52441,161879,3033.505,4070.193,22.696,0.0593,21.992,0.0972,0.4250,-0.5425,204.99320310241902,-31.61153282789061
52446,45168,2645.463,4070.523,23.305,0.0907,22.341,0.1170,0.3660,-1.2955,205.01345424621613,-31.61152208455345
52450,161880,3214.468,4070.653,23.0,0.0711,22.401,0.1349,0.3750,0.2655,204.98375901522292,-31.611509461365657
52451,5014517,3376.072,4070.657,15.226,0.0042,14.377,0.0055,1.0485,-0.1995,204.9753252297234,-31.611506086751227
52452,45176,2725.144,4070.921,23.68,0.1397,22.755,0.1697,0.4005,-1.8090,205.00929585682653,-31.61150385073228
52453,161896,2713.572,4070.972,21.968,0.0327,20.991,0.0381,0.3735,-0.3225,205.009899776821,-31.611501671569062
52455,45187,2718.139,4071.146,23.258,0.0992,22.142,0.0992,0.3670,0.2955,205.00966143576625,-31.611493904043723
52456,161897,2766.054,4071.173,23.298,0.0956,22.469,0.1482,0.3875,-2.5185,205.0071608482692,-31.61149231861203
52457,161894,2433.805,4071.269,22.254,0.0437,21.039,0.0451,0.4245,0.1740,205.02450025841287,-31.61148972230392
52458,161917,3775.815,4071.315,23.206,0.0881,22.002,0.0891,0.3985,-0.0515,204.95446348564934,-31.61146655393933
52461,161895,2671.720,4071.525,23.241,0.1015,21.862,0.0908,0.4745,-3.6345,205.01208395327967,-31.61147738654437
52462,45174,2227.656,4071.567,17.451,0.0064,16.631,0.0068,0.7130,0.0595,205.03525876094804,-31.611476336706726
52464,161912,2888.371,4071.714,23.2,0.0891,22.165,0.1059,0.4065,-1.2930,205.00077737687107,-31.611467069334175
52466,161910,2702.791,4072.053,22.385,0.0472,19.858,0.0202,0.4325,-0.3590,205.01046242481024,-31.61145370610389
52467,161916,3308.059,4072.080,22.719,0.0548,21.579,0.0663,0.3955,-0.9950,204.97887472377454,-31.611444255307664
52468,161915,3091.756,4072.161,23.555,0.1158,22.816,0.1759,0.3775,-1.1785,204.99016313478853,-31.611444496498084
52470,161914,2999.071,4072.250,22.124,0.0387,20.962,0.0377,0.3845,-0.1570,204.99500017685347,-31.611441883037635
52471,161911,2869.766,4072.263,22.744,0.0518,21.68,0.0670,0.3630,-0.5665,205.00174834108893,-31.611442873076808
52472,5014520,5134.388,4072.369,21.515,0.0420,20.668,0.0441,0.4510,-1.3960,204.88356262166835,-31.611359399545062
52473,161909,2500.541,4072.400,22.955,0.0816,22.187,0.1196,0.4555,-2.1295,205.02101744409566,-31.611439308133495
52474,161929,2410.377,4072.642,22.776,0.0753,22.132,0.1146,0.4580,-0.1200,205.0257229204465,-31.611428729472646
52475,161913,2959.363,4072.718,23.645,0.1268,22.739,0.1834,0.4140,-2.4825,204.9970724632099,-31.6114216022492
52478,161930,2581.467,4072.977,23.351,0.0997,22.435,0.1296,0.3965,-1.5455,205.0167940837152,-31.611413358032635
52485,161928,2404.356,4073.344,21.995,0.0418,20.81,0.0396,0.4630,0.1610,205.02603714489922,-31.611397535148885
52487,161953,3241.182,4073.509,23.905,0.1653,23.146,0.2035,0.3935,-1.8560,204.98236492804426,-31.61138203788207
52488,161932,2936.971,4073.572,23.695,0.1391,23.408,0.3150,0.4295,-3.6420,204.99824106794117,-31.611383924742608
52489,161951,3048.072,4073.593,23.739,0.1374,22.591,0.1532,0.3805,-3.0395,204.99244293783542,-31.611381507343797
52490,45216,2465.800,4073.654,23.193,0.0936,22.553,0.1455,0.4070,-1.5855,205.02283050954406,-31.61138366340081
52495,161947,2257.142,4073.790,21.235,0.0230,20.15,0.0273,0.4820,0.2075,205.03371994001125,-31.611377612188274
52498,45210,2644.528,4074.168,23.257,0.0919,22.356,0.1136,0.3810,-1.6170,205.01350306759738,-31.611360090194832
52499,161963,2441.237,4074.209,23.948,0.1641,22.735,0.1666,0.4330,-1.2120,205.02411240294998,-31.61135904391895
52500,161976,2649.419,4074.265,23.07,0.0897,22.451,0.1294,0.4140,-2.0295,205.01324781716303,-31.61135574961363
52501,161950,2974.771,4074.372,21.957,0.0384,20.949,0.0447,0.4675,-0.2865,204.99626837657064,-31.61134789367306
52507,5014524,5829.477,4075.096,18.282,0.0111,17.477,0.0110,0.6945,-0.9620,204.84728786715064,-31.611192199126556
52510,161945,1247.267,4075.193,23.064,0.0872,22.395,0.1551,0.4820,-0.1940,205.08642317185488,-31.61130216824238
52511,161965,3034.720,4075.286,23.617,0.1223,22.603,0.1536,0.3720,-1.7500,204.99313977930194,-31.611306455133107
52515,161966,3439.769,4075.679,23.532,0.1081,22.663,0.1689,0.4085,-0.8840,204.97200114770496,-31.611281474609747
52516,161975,2619.485,4075.680,21.901,0.0326,20.419,0.0267,0.4025,-0.5655,205.0148100194107,-31.611293033160415
52517,161974,2450.026,4075.844,21.696,0.0287,20.563,0.0292,0.3885,0.0325,205.0236537268314,-31.611286361860945
52518,161972,2243.460,4076.066,22.507,0.0637,21.567,0.0909,0.5460,-0.9025,205.03443396854652,-31.611276423940726
52522,161973,2372.655,4076.295,22.809,0.0720,21.772,0.0939,0.4910,-1.3555,205.02769155569024,-31.611266396783655
52525,161991,2876.014,4076.521,23.044,0.0745,22.212,0.1102,0.3825,-0.9300,205.0014223251746,-31.61125356110212
52526,161971,758.969,4076.538,22.358,0.0508,21.615,0.0751,0.4600,-0.3735,205.11190632576378,-31.611228300610648
52529,45211,2880.144,4076.837,23.725,0.1412,22.645,0.1554,0.4065,-2.0185,205.00120679340657,-31.611239471524446
52530,161994,3299.670,4076.905,,0.1782,23.038,0.1967,0.3745,-4.4515,204.97931264109616,-31.611229978476274
52532,161989,2576.482,4076.999,22.899,0.0629,22.064,0.0889,0.3585,-0.3420,205.0170542620734,-31.611234625371488
52536,161990,2855.651,4077.357,22.027,0.0411,21.065,0.0426,0.4090,-1.0100,205.00248503675647,-31.611216622823818
52543,5014537,6494.204,4078.216,20.023,0.0239,19.216,0.0221,0.5865,-0.8145,204.81259789710725,-31.610999952376254
52547,162027,2769.417,4078.633,23.325,0.1017,22.375,0.1397,0.4380,-1.8420,205.00698541565194,-31.611160734282535
52549,162020,1407.857,4078.846,21.951,0.0416,20.851,0.0567,0.5910,-0.6050,205.07804223744716,-31.611143341092095
52551,162022,2562.858,4078.989,21.915,0.0318,20.874,0.0372,0.3950,-0.3030,205.01776527930272,-31.611146240696826
52554,162042,2463.354,4079.012,22.548,0.0587,21.626,0.0739,0.4485,-1.3900,205.0229581746486,-31.61114553540194
52555,162028,3003.012,4079.195,22.491,0.0485,21.596,0.0639,0.3805,-0.3530,204.9947946149588,-31.611133163147205
52557,162024,2735.665,4079.269,22.771,0.0702,21.951,0.1001,0.4665,-0.6285,205.00874686444797,-31.611132746605215
52558,162045,4162.011,4079.649,23.701,0.1224,23.543,0.2551,0.4065,-2.8505,204.93430910725104,-31.611082994554128
52559,162029,3648.513,4079.756,23.807,0.1317,22.943,0.1949,0.3790,-1.6120,204.96110738255794,-31.61109504313479
52560,162040,312.540,4079.915,21.713,0.0391,20.943,0.0588,0.6080,0.0980,205.1352042653014,-31.611060903085715
52563,45242,2794.114,4080.014,23.369,0.1028,22.712,0.1681,0.3955,-0.8360,205.00569654823647,-31.611099137075254
52570,162063,2861.096,4080.616,22.782,0.0613,21.339,0.0543,0.3940,0.0775,205.00220091447127,-31.611071721198176
52571,45248,415.131,4080.697,18.974,0.0090,18.093,0.0127,0.6630,-0.0900,205.12985024829914,-31.611030499465517
52575,162062,2836.320,4081.193,22.984,0.0735,22.308,0.1148,0.3905,-1.6275,205.00349392508986,-31.611046332106937
52576,45260,2998.470,4081.258,23.398,0.1060,22.951,0.2095,0.3940,-0.0065,204.99503168455846,-31.611041535760364
52577,162059,1954.291,4081.266,21.641,0.0311,20.383,0.0387,0.5410,-0.1080,205.04952503116724,-31.611043692277732
52579,162074,2446.070,4081.440,21.918,0.0300,20.413,0.0272,0.3935,0.2430,205.02386019369047,-31.61103765795428
52581,162077,3114.983,4081.628,22.869,0.0651,22.216,0.0973,0.3795,-0.4950,204.98895114275132,-31.611023376255552
52582,162075,2538.814,4081.649,23.029,0.0778,21.782,0.0815,0.4225,-2.2280,205.0190200945209,-31.61102811433804
52585,162064,3033.580,4081.809,22.383,0.0469,21.508,0.0530,0.3705,-0.4505,204.99319938255934,-31.61101656038624
52588,162078,3209.539,4082.143,23.084,0.0816,22.076999999999998,0.1057,0.4275,-0.6225,204.9840164923357,-31.61099888377898
52590,45263,2461.712,4082.281,22.717,0.0633,21.882,0.0994,0.4010,-0.7020,205.0230438750701,-31.611000250019462
52593,162072,1731.956,4082.433,23.324,0.1069,22.422,0.1585,0.4350,-0.6900,205.06112817325248,-31.610989373032155
52594,162071,1315.367,4082.473,21.403,0.0307,20.6,0.0424,0.5560,-0.3165,205.08286898912843,-31.610980175958737
52596,162085,579.687,4082.784,23.118,0.0858,22.285,0.1441,0.4810,-1.2815,205.12126237080832,-31.610944258061473
52597,45269,2086.134,4082.868,23.896,0.1598,22.036,0.2168,0.6205,-1.6210,205.04264443144416,-31.610973451259863
52599,45270,2862.260,4083.096,23.13,0.0796,22.442,0.1300,0.3870,-0.1170,205.00214019880067,-31.610961486699626
52601,162089,2395.825,4083.163,21.396,0.0248,19.63,0.0173,0.4295,-0.1520,205.02648236830467,-31.610961141976436
52602,162098,2849.411,4083.185,22.6,0.0555,21.607,0.0667,0.4185,-0.7045,205.00281075954078,-31.610957665511325
52606,162087,2115.754,4083.371,22.468,0.0603,21.52,0.0819,0.5125,-0.6990,205.04109862850015,-31.610951260412033
52607,162090,2961.201,4083.420,22.303,0.0402,21.35,0.0490,0.3660,0.1285,204.9969767014055,-31.61094593470444
52609,45264,2564.553,4083.509,22.447,0.0475,21.498,0.0602,0.3960,-0.2715,205.01767684369293,-31.610945344645405
52614,162097,2713.064,4084.061,23.54,0.1144,22.421,0.1194,0.3875,-1.1960,205.00992640258298,-31.610919942192147
52616,162121,3288.646,4084.094,23.378,0.0985,22.993,0.1864,0.3735,-1.3495,204.97988812555946,-31.610910685375636
52617,5014551,4833.227,4084.151,20.76,0.0215,20.158,0.0323,0.4400,-0.5255,204.89928023913296,-31.610852504315687
52618,162099,3259.803,4084.161,23.669,0.1306,22.491,0.1421,0.4250,-1.5925,204.98139337522034,-31.61090826527612
52619,162116,2583.627,4084.229,23.407,0.1118,22.425,0.1390,0.4345,-2.6470,205.01668141964046,-31.610913259221267
52620,45274,3231.587,4084.239,23.313,0.1043,22.472,0.1346,0.3905,-1.0090,204.98286590343605,-31.610905327084218
52625,162100,4081.618,4084.538,22.814,0.0587,21.85,0.0765,0.3750,0.1025,204.93850483892007,-31.610868706236605
52632,162122,3521.449,4085.192,22.088,0.0350,21.344,0.0454,0.3500,-0.3650,204.9677387202425,-31.610856737961555
52633,45288,2445.007,4085.295,22.961,0.0759,22.058,0.1026,0.3930,-1.6720,205.0239156771456,-31.610866326528278
52638,162130,1541.971,4085.725,22.785,0.0682,21.748,0.0923,0.4835,-0.0700,205.07104298538727,-31.610840135182944
52641,162119,2895.835,4085.785,23.97,0.1793,22.97,0.2035,0.4085,-2.8645,205.00038803278838,-31.6108416079938
52642,45282,3046.143,4085.811,22.495,0.0492,21.516,0.0622,0.4010,-1.2285,204.99254381646665,-31.610838513369796
52643,162120,3234.994,4085.842,22.661,0.0542,21.067,0.0437,0.3880,-0.6540,204.98268813499672,-31.61083401976634
52645,45272,2901.654,4085.953,23.939,0.1738,22.419,0.1638,0.3985,-2.2410,205.00008435526374,-31.610834075181284
52647,45290,3614.733,4086.035,17.72,0.0062,16.9,0.0080,0.7355,-0.5140,204.96287047961354,-31.610816886032435
52651,162167,2835.513,4086.268,23.259,0.0963,22.181,0.1038,0.4065,0.2895,205.00353610039372,-31.6108207847298
52653,162133,2705.367,4086.400,22.292,0.0415,21.308,0.0506,0.3885,-0.1435,205.01032811107652,-31.610816043212985
52655,162145,1840.777,4086.704,22.621,0.0614,21.769,0.0923,0.4830,-0.0360,205.0554489993795,-31.610800882349153
52656,45297,3181.581,4086.749,,0.1825,23.105,0.1941,0.3800,-0.7295,204.98547564998006,-31.6107946666797
52660,45301,2840.903,4087.188,23.4,0.0996,22.435,0.1381,0.3830,-0.5610,205.00325482011732,-31.610779841507146
52661,45289,2797.632,4087.301,19.159,0.0100,18.59,0.0131,0.5845,-0.6740,205.0055130306325,-31.610775238206497
52663,162148,2646.004,4087.331,23.195,0.0972,22.33,0.1162,0.4070,-1.3680,205.01342613111635,-31.61077505930472
52665,162146,2089.049,4087.400,21.883,0.0332,20.205,0.0322,0.5225,-0.3255,205.04249227332357,-31.610772046131945
52666,162152,2810.689,4087.431,22.439,0.0442,21.454,0.0675,0.4280,-0.6415,205.00483161872495,-31.610769338207326
52668,162161,1427.862,4087.633,23.228,0.0918,22.378,0.1606,0.4420,-0.3355,205.07699801620043,-31.610753209198275
52670,162166,2620.349,4087.795,23.329,0.1036,23.12,0.2096,0.4050,-3.7280,205.01476500682378,-31.61075458416191
52671,162169,2991.692,4087.842,22.581,0.0517,21.537,0.0596,0.3685,-0.9160,204.99538551622118,-31.610749004569676
52675,45302,4003.436,4088.385,,0.3919,21.788,0.0748,0.3800,0.5180,204.94258512291924,-31.610700514874623
52676,162150,2693.372,4088.402,23.99,0.1595,21.94,0.0849,0.3510,0.3425,205.01095411801973,-31.61072715107444
52678,162184,2820.089,4088.547,22.609,0.0557,21.588,0.0607,0.3850,0.1435,205.00434106813643,-31.610719647994223
52680,162183,2462.830,4088.585,21.943,0.0334,20.679,0.0389,0.4390,-0.6120,205.02298554488894,-31.610720069962202
52684,162186,2997.781,4089.267,21.228,0.0189,19.608,0.0172,0.3995,-0.2410,204.99506776867975,-31.610685589644035
52686,162199,2860.772,4089.385,22.743,0.0676,21.884,0.0838,0.4030,-0.2590,205.00221793214897,-31.61068199143139
52690,162187,3207.904,4089.625,23.362,0.1017,22.396,0.1369,0.4330,-2.3305,204.9841019768538,-31.6106663799727
52694,162158,42.676,4089.865,,0.6299,21.302,0.1388,0.5420,3.1125,205.14928723740886,-31.610606168081755
52696,162197,2167.077,4089.934,22.331,0.0557,21.402,0.0849,0.5795,-0.7340,205.03842016741714,-31.610659812911823
52698,162198,2369.560,4090.116,22.969,0.0835,22.47,0.1599,0.4960,-0.6745,205.02785307941673,-31.610652130811275
52700,162196,1193.170,4090.235,22.644,0.0622,21.532,0.0706,0.4545,-0.3785,205.08924593883347,-31.610632323689448
52702,162200,3132.935,4090.314,23.08,0.0869,22.232,0.1066,0.3810,-2.2260,204.98801443566438,-31.610637042145765
52704,162208,2441.434,4090.479,21.815,0.0333,20.793,0.0361,0.4125,-1.0325,205.02410215375053,-31.610635932672263
52710,162211,2714.033,4090.737,22.865,0.0673,21.924,0.0889,0.4175,-0.3240,205.0098758911649,-31.6106232239678
52718,162236,3181.464,4091.591,22.727,0.0583,21.576,0.0580,0.3695,0.0595,204.98548185474888,-31.61057946882928
52719,162232,2473.105,4091.652,23.189,0.0977,22.317,0.1242,0.4335,-0.4040,205.0224493260727,-31.610583736003484
52721,162233,2528.884,4091.793,23.251,0.0920,22.072,0.1049,0.4210,-2.1435,205.01953836071803,-31.610577306016975
52722,162229,203.831,4091.826,,0.2408,22.711,0.3638,0.6480,0.0715,205.1408768847704,-31.61052667138135
52725,45336,2460.560,4092.070,22.54,0.0547,21.531,0.0776,0.4525,-0.7065,205.02310401914121,-31.61056518586936
52726,162215,3433.047,4092.144,23.982,0.1598,22.642,0.1691,0.3770,-0.9500,204.97235239368572,-31.610549850476755
52727,162237,3194.332,4092.157,22.189,0.0376,20.802,0.0397,0.4125,-0.6250,204.984810318225,-31.610554088059807
52728,45309,1021.703,4092.163,17.497999999999998,0.0078,16.799,0.0069,0.8045,0.0825,205.0981943009714,-31.610542066838367
52729,162235,2965.914,4092.443,20.725,0.0185,19.226,0.0186,0.5705,0.2595,204.99673087652755,-31.610544852592106
52733,162248,3813.312,4092.635,22.696,0.0496,21.924,0.0774,0.3640,-0.6960,204.95250736670516,-31.61051786043595
52735,162234,2895.069,4092.853,22.011,0.0413,21.6,0.0580,0.3885,0.1630,205.00042810228422,-31.610527483435835
52736,162246,3240.743,4092.918,21.545,0.0245,20.389,0.0269,0.4030,-0.2010,204.98238826335185,-31.610519424341295
52742,162247,3502.981,4093.231,22.696,0.0556,21.699,0.0639,0.3710,-0.5840,204.96870274924146,-31.610499899697167
52744,162245,3016.780,4093.388,21.429,0.0219,20.161,0.0224,0.3815,-0.4120,204.9940763249589,-31.610502174442566
52748,162244,2852.555,4093.566,23.406,0.1009,22.344,0.1154,0.3825,-0.9405,205.00264680816886,-31.61049625534888
52750,162260,2848.333,4093.719,23.68,0.1308,22.722,0.1689,0.3725,-2.6445,205.00286714535682,-31.61048949901832
52751,162263,3079.614,4093.773,22.518,0.0532,21.608,0.0649,0.3775,-1.4840,204.99079718711292,-31.61048414981604
52752,162262,2978.046,4093.794,21.543,0.0267,19.663,0.0189,0.4420,-0.7895,204.99609775905733,-31.610484651409564
52755,162243,2124.116,4093.973,23.565,0.1277,21.817,0.1127,0.5330,0.1600,205.04066217185218,-31.610480103676483
52759,162282,3137.718,4094.453,23.33,0.0953,22.037,0.0907,0.3775,-0.7040,204.987764902824,-31.61045300830441
52760,45355,3194.011,4094.596,22.929,0.0708,22.172,0.1226,0.3950,-0.5875,204.98482712093656,-31.610445693781497
52763,5014585,5953.123,4094.859,21.745,0.0453,21.011,0.0548,0.4310,-0.4705,204.84083687765414,-31.610304591640702
52765,162280,2547.887,4094.978,23.126,0.0937,22.149,0.1119,0.4370,-2.5540,205.0185466566285,-31.610435679784363
52770,162283,3256.761,4095.078,23.09,0.0740,22.145,0.1097,0.3780,-0.8820,204.98155237333202,-31.610423123355023
52777,162334,2669.442,4095.556,22.871,0.0725,22.238,0.1195,0.3825,-0.3425,205.01220302114783,-31.610409357290816
52780,162291,1415.754,4095.872,21.257,0.0261,20.341,0.0530,0.4615,-0.0820,205.07762970846468,-31.610386789851287
52783,162298,2910.216,4096.012,21.175,0.0230,19.441,0.0183,0.4655,-0.2575,204.9996376621289,-31.610386910054064
52784,162296,2787.244,4096.054,21.063,0.0174,19.547,0.0170,0.4140,-0.6210,205.0060552479165,-31.610386310774174
52794,162314,1573.979,4096.975,23.011,0.0823,22.032,0.1029,0.4400,0.1905,205.06937234304252,-31.610340682190184
52795,162312,1322.094,4097.008,23.731,0.1379,22.023,0.1086,0.4000,-0.5715,205.08251754539228,-31.61033432547955
52799,162317,2233.695,4097.299,19.741,0.0095,18.876,0.0140,0.4980,-0.2075,205.03494351470857,-31.610332709529
52800,162313,1462.666,4097.348,22.861,0.0740,21.955,0.1068,0.4845,-0.9600,205.07518146248395,-31.61032210941905
52801,162328,985.348,4097.478,22.06,0.0400,21.219,0.0683,0.5270,0.1310,205.1000913911986,-31.61030479618132
52802,162318,2752.463,4097.501,23.626,0.1346,22.67,0.1556,0.4080,-2.7865,205.007870390979,-31.61032229993813
52806,162329,1864.250,4097.956,23.57,0.1261,22.518,0.1787,0.4525,-1.3775,205.05422385986486,-31.610301047901224
52808,162336,2763.626,4098.238,22.057,0.0483,19.613,0.0191,0.4360,-1.3800,205.00728783109832,-31.610289450824414
52810,45381,3134.831,4098.319,,0.1969,23.129,0.2032,0.3790,-3.5930,204.98791564223632,-31.610281233540213
52812,162335,2692.208,4098.369,22.069,0.0356,21.105,0.0458,0.4215,-1.0105,205.01101494616677,-31.610284181582184
52815,162345,2370.267,4098.583,21.54,0.0272,19.806,0.0222,0.4725,-0.3240,205.02781618436876,-31.61027581969896
52818,162362,2622.167,4098.922,23.186,0.0917,22.08,0.0986,0.4085,-1.2050,205.0146702017071,-31.61026004101433
52819,162349,3191.849,4098.932,22.602,0.0505,21.537,0.0593,0.3765,-0.5275,204.9849400396827,-31.610253020850216
52822,45373,3141.254,4099.192,,0.1690,22.738,0.1813,0.4070,-0.6470,204.98758046016704,-31.610242327935058
52830,162365,3464.415,4099.800,22.63,0.0517,21.717,0.0639,0.3610,-0.2400,204.97071558876675,-31.610208861438927
52831,162350,3240.030,4099.839,23.323,0.0956,22.619,0.1559,0.4140,-0.6845,204.98242562434456,-31.61021183779744
