,ID,X,Y,J,J_err,H,H_err,K,K_err,chi,sharp,ra,dec
2399,5002325,2389.000,196.108,21.292,0.0125,,,20.285,0.0168,0.4440,0.2685,49.56186607261068,-66.5954045363546
2409,5002334,2169.385,197.399,22.988999999999997,0.0492,,,21.679,0.0556,0.4840,-2.0115,49.586438284543775,-66.59534277153904
2429,5002340,2502.947,199.788,21.869999999999997,0.0204,,,20.959,0.0297,0.4805,-0.1920,49.54911673640829,-66.59524174397524
2446,5002349,2471.895,201.858,22.569000000000003,0.0341,,,21.801,0.0597,0.4955,-0.4355,49.55259103957594,-66.5951496389768
2449,5002350,2321.538,202.466,22.403,0.0298,,,21.402,0.0423,0.4800,0.1485,49.56941400313585,-66.59512102065908
2452,5002352,-632.607,202.862,19.769,0.0102,,,18.96,0.0141,0.9035,0.2365,49.89993924878895,-66.59470682558465
2453,71614,3572.260,202.934,,0.1997,,,20.751,0.0323,0.3685,4.0725,49.42947491177632,-66.59505868954244
2464,1722,3045.359,204.526,22.706000000000003,0.0385,,,21.826,0.0588,0.2985,-0.0800,49.48842818112313,-66.59502061883794
2471,5002359,1488.756,205.806,20.793999999999997,0.0132,,,19.519,0.0141,0.6355,0.1540,49.66259050619963,-66.59493113009471
2483,5002363,5479.311,207.520,20.677999999999997,0.0106,,,20.058,0.0207,0.6135,0.1570,49.21610734868754,-66.59455172375529
2485,5002365,2776.400,207.735,21.266,0.0116,,,19.504,0.0107,0.4410,0.0975,49.51852118790232,-66.59488615645908
2492,5002369,4045.033,208.652,20.897,0.0137,,,19.312,0.0127,0.6100,0.3605,49.37657994105693,-66.59475640946683
2493,5002370,-193.047,208.950,18.174,0.0029,,,17.283,0.0040,0.5515,0.2535,49.85075660339349,-66.5945392809044
2525,5002387,2356.914,212.774,22.543999999999997,0.0345,,,21.756999999999998,0.0550,0.4540,0.0200,49.565455536834186,-66.59466342643462
2548,5002397,268.269,216.352,18.933,0.0036,,,18.082,0.0049,0.4935,0.2055,49.79913987826141,-66.59430188419873
2551,5002398,2444.601,217.100,21.932000000000002,0.0206,,,20.777,0.0258,0.4695,-0.4245,49.55564462188246,-66.59447206305407
2605,5002415,5086.950,224.108,20.336,0.0084,,,19.476,0.0124,0.5545,0.0245,49.26001421618932,-66.5939005275905
2622,1786,3032.498,227.026,23.43,0.0676,,,22.183,0.0786,0.4645,-0.1075,49.489869416380984,-66.5940211439912
2629,5002422,3215.793,228.012,22.225,0.0248,,,21.063,0.0328,0.4270,-0.0990,49.469362180434416,-66.59396864825845
2634,5002426,2477.793,228.300,21.433999999999997,0.0141,,,19.396,0.0087,0.4245,-0.0950,49.551930853624015,-66.59397446882363
2643,5002432,3109.380,228.570,20.807000000000002,0.0088,,,19.879,0.0121,0.4295,-0.0710,49.48126789829833,-66.59394920970873
2651,5002437,2607.681,229.885,21.458,0.0145,,,19.593,0.0109,0.4460,0.4040,49.53739879078377,-66.59390389284897
2659,71746,2660.133,231.148,22.113999999999997,0.0219,,,20.373,0.0177,0.3710,-0.2215,49.53153042275653,-66.59384732562718
2669,71757,3459.871,232.062,21.716,0.0201,,,19.948,0.0149,0.5140,0.0645,49.44205513269415,-66.59377294519011
2672,5002447,2625.667,232.654,22.564,0.0345,,,20.758,0.0231,0.4600,-1.0085,49.535386545733246,-66.59378070243031
2680,5002452,2995.711,233.271,23.159999999999997,0.0563,,,20.89,0.0282,0.4795,0.1150,49.49398579608245,-66.59374500785228
2692,71775,3283.718,234.627,22.802999999999997,0.0407,,,21.451,0.0416,0.4565,0.0210,49.46176362728706,-66.59367075574048
2699,5002460,2346.439,235.313,21.134,0.0106,,,19.716,0.0114,0.4335,0.3245,49.56662670100808,-66.59366154771257
2710,5002466,2471.835,236.778,22.616999999999997,0.0362,,,21.352,0.0411,0.4825,-0.3155,49.552597345874155,-66.59359764388024
2719,71793,3294.038,237.950,22.314999999999998,0.0262,,,21.151,0.0306,0.4355,0.1850,49.46060953258782,-66.59352244375854
2721,71792,3100.113,238.048,20.647999999999996,0.0076,,,19.595,0.0100,0.4190,0.2575,49.48230578651763,-66.59352839111594
2722,71790,2214.525,238.148,22.183999999999997,0.0247,,,20.598,0.0220,0.4660,0.1105,49.58138509279821,-66.59353292667248
2725,71797,2007.987,238.936,22.284,0.0279,,,21.121,0.0319,0.4695,0.1830,49.604492405488294,-66.5934910164871
2733,1832,1982.074,239.757,21.269,0.0122,,,19.636,0.0108,0.4565,-0.1315,49.60739144695548,-66.59345342366886
2744,5002477,3166.661,240.765,23.461,0.0678,,,22.426,0.0871,0.4480,-2.8295,49.47486077133968,-66.5934044380268
2746,5002479,2871.158,241.093,23.14,0.0559,,,22.294999999999998,0.0909,0.4720,-1.9255,49.50792139674847,-66.59340136667448
2747,71807,3058.018,241.147,22.804000000000002,0.0385,,,21.875,0.0564,0.4465,-0.1150,49.487015685999154,-66.59339249910109
2748,5002480,3085.471,241.185,22.705,0.0381,,,21.833,0.0568,0.4740,-1.3000,49.48394427657138,-66.5933896257269
2751,5002482,2249.421,241.504,22.319000000000003,0.0294,,,21.217,0.0331,0.4495,-0.2360,49.57748075124447,-66.59338459991683
2753,5002483,2696.380,242.032,22.762999999999998,0.0401,,,21.829,0.0601,0.4795,-0.4165,49.527475431314365,-66.59336316590823
2755,5002484,2326.389,242.411,22.900999999999996,0.0456,,,21.647,0.0474,0.4625,-0.9800,49.56886961067211,-66.5933457729741
2757,5002485,5098.969,242.464,19.214999999999996,0.0044,,,18.352999999999998,0.0066,0.5570,0.2140,49.25867898051664,-66.59308226491461
2767,5002490,2009.568,243.835,23.323,0.0641,,,22.404,0.0888,0.4655,-0.8085,49.60431501335285,-66.59327334960838
2774,71828,1970.251,244.574,21.33,0.0127,,,20.445,0.0189,0.4620,-0.3140,49.608713655228264,-66.59323881410151
2788,71837,3588.841,245.128,20.902,0.0125,,,19.66,0.0148,0.5945,-0.0835,49.427628675658354,-66.59318202345439
2798,71845,3763.128,245.860,20.883000000000003,0.0120,,,19.828,0.0185,0.6285,0.0620,49.40813001956942,-66.59313358337936
2806,71849,2847.443,246.870,20.988999999999997,0.0129,,,19.74,0.0130,0.5215,0.3615,49.51057497627313,-66.59314523396736
2809,5002503,1947.567,247.231,23.137,0.0527,,,22.011,0.0704,0.4470,-0.3580,49.61125119213177,-66.59311969393531
2828,71859,4073.963,249.144,21.021,0.0127,,,19.75,0.0154,0.5795,0.3585,49.3733556435731,-66.59295325483833
2833,5002510,2052.508,249.992,22.674999999999997,0.0383,,,21.957,0.0678,0.4875,-1.3095,49.59951036329893,-66.59300141254957
2840,71864,2685.079,250.671,22.711,0.0389,,,21.64,0.0480,0.4575,0.3195,49.528740043340434,-66.59297935628409
2842,5002517,2111.529,250.845,23.052,0.0489,,,21.712,0.0520,0.4600,-0.4995,49.59290718472179,-66.59296560732177
2843,5002518,4950.595,250.869,21.366,0.0170,,,19.858,0.0175,0.5990,-0.2720,49.27528257329049,-66.59273819494537
2849,71878,4041.499,251.638,21.201,0.0146,,,19.926,0.0177,0.5905,-0.0285,49.37698835767489,-66.59284636114444
2853,71876,2263.707,252.005,22.476999999999997,0.0317,,,21.091,0.0316,0.4680,-1.0775,49.57588188764364,-66.59291820149775
2858,71875,2235.206,252.667,22.012,0.0212,,,19.686,0.0109,0.4480,0.2695,49.579070451997225,-66.59288814258272
2864,71883,1947.691,253.509,21.853,0.0200,,,20.487,0.0196,0.4645,0.3360,49.611236586974286,-66.59284067854983
2879,71897,3163.700,255.159,21.155,0.0108,,,20.026,0.0136,0.4360,0.3645,49.47519387231999,-66.5927648570528
2886,71893,2163.777,255.721,21.534,0.0140,,,19.753,0.0111,0.4285,0.0780,49.58706147242839,-66.59275052956424
2890,71905,1655.859,256.712,21.451,0.0154,,,19.826,0.0141,0.5200,0.1035,49.643885139757145,-66.59268139843232
2893,71909,1799.888,257.512,20.927999999999997,0.0103,,,19.576,0.0108,0.4675,-0.6755,49.62777167572954,-66.59265504383214
2894,71912,2859.944,257.538,,0.1977,,,22.461,0.0999,0.4375,-3.6060,49.50917709555235,-66.59267077999712
2896,71913,3238.950,257.577,21.906,0.0184,,,21.027,0.0279,0.4320,0.1395,49.46677553869215,-66.5926533676141
2901,5002539,2863.083,257.897,21.911,0.0190,,,20.06,0.0153,0.4470,0.1150,49.508825941445934,-66.59265474162103
2907,5002543,5065.459,258.322,21.206000000000003,0.0145,,,20.372,0.0229,0.5640,0.1435,49.2624360015477,-66.59238428714713
2910,71910,2332.235,258.630,21.424999999999997,0.0127,,,20.009,0.0136,0.4330,-0.0115,49.56821492446253,-66.59262502436064
2913,5002545,2719.543,258.955,22.746000000000002,0.0394,,,22.087,0.0709,0.4705,-0.1805,49.524884622559064,-66.59261070676857
2925,71926,2632.921,260.371,21.464,0.0136,,,19.836,0.0114,0.4285,-0.3635,49.534575533841725,-66.59254878243249
2927,71928,2016.447,260.872,21.246000000000002,0.0115,,,20.059,0.0143,0.4405,-0.1175,49.60354364880259,-66.59251643568136
2930,71931,2731.337,261.154,22.918,0.0464,,,21.031,0.0316,0.4870,-2.0325,49.52356525133603,-66.59251279018535
2941,71940,2948.789,261.843,22.073999999999998,0.0214,,,20.416,0.0186,0.4490,-0.7465,49.499237854587626,-66.5924767984606
2943,71939,2602.976,261.923,22.369,0.0299,,,21.383,0.0420,0.3035,-2.6575,49.5379256609382,-66.59248001461802
2947,71938,2293.076,262.599,22.155,0.0240,,,20.977999999999998,0.0304,0.4825,0.2790,49.572595672071394,-66.59244794713035
2950,5002556,2030.802,263.178,23.021,0.0489,,,22.025,0.0686,0.4755,-2.8860,49.60193745193965,-66.59241452607284
2960,71949,2942.472,264.902,22.662999999999997,0.0334,,,21.569,0.0450,0.4520,-1.1600,49.49994482098762,-66.59234105248191
2973,71955,2004.341,267.025,22.11,0.0234,,,21.065,0.0291,0.4440,-0.1970,49.60489736014975,-66.59224246907395
2981,71956,2166.449,267.708,21.528999999999996,0.0146,,,20.422,0.0182,0.4415,0.3490,49.58676166647266,-66.59221785350232
2982,71965,3243.602,267.801,22.453000000000003,0.0307,,,21.547,0.0454,0.4630,0.3245,49.46625655484988,-66.59219870599544
2983,71963,2894.936,267.803,21.92,0.0197,,,20.627,0.0227,0.4625,0.0715,49.505263088957584,-66.59221359111882
2993,71975,2281.786,269.637,22.709000000000003,0.0371,,,21.787,0.0574,0.4785,-0.0655,49.57385838845166,-66.59213493006732
2994,1955,2782.099,269.655,23.150999999999996,0.0515,,,22.143,0.0740,0.4715,-0.3640,49.51788667800639,-66.5921340526729
2996,71970,2389.890,269.908,21.563000000000002,0.0150,,,20.509,0.0200,0.4545,-0.6350,49.56176442071831,-66.59212455724393
2997,1954,2348.693,270.058,23.301000000000002,0.0619,,,21.901,0.0611,0.4715,-0.5385,49.566373260991206,-66.59211736333762
3000,71971,2849.466,270.583,21.796,0.0177,,,20.784,0.0235,0.4450,-0.7295,49.510350164729154,-66.59209127514791
3002,5002568,5579.574,270.629,21.177999999999997,0.0151,,,20.543,0.0299,0.6335,-0.1130,49.20492827628677,-66.59172298568038
3006,71977,3621.214,270.926,18.725,0.0036,,,17.665,0.0043,0.5540,0.3960,49.42401249420757,-66.5920326802752
