,ID,X,Y,H,H_err,J,J_err,K,K_err,chi,sharp,ra,dec
2403,327318,930.846,768.273,21.895,0.1927,23.3045,0.1806,,,0.8750,-0.4200,150.04427625280178,5.216261118818691
2421,327967,510.653,771.307,19.811,0.0990,17.838500000000003,0.0093,16.233,0.0108,0.6463,0.0117,150.0630291011493,5.216393635212342
2444,24621,547.493,776.784,21.735,0.2023,,,21.076,0.2398,1.3450,-3.8535,150.06138500024252,5.216637282325562
2474,327839,1195.688,782.735,21.887999999999998,0.1783,23.491500000000002,0.1367,21.421,0.2795,0.9710,-0.9733,150.03245664896363,5.216905052482352
2522,328396,2348.148,791.641,21.939999999999998,0.2294,,,21.335,0.2507,1.1050,1.5945,149.98102328586072,5.217303443430895
2527,328255,844.768,792.260,22.326999999999998,0.2763,,,21.857,0.2912,1.0450,1.1405,150.04811796340428,5.217326770531297
2560,5000721,1461.906,798.094,,,23.805500000000002,0.2916,21.700000000000003,0.2896,0.7650,-0.4270,150.0205756085975,5.217588636545898
2564,25226,2719.340,798.954,22.227,0.2573,,,21.388,0.2620,1.2750,0.6195,149.96445726179277,5.217628401977996
2586,25503,2189.721,805.301,22.348,0.2788,,,21.19,0.2125,1.1600,-2.0345,149.98809377584155,5.217910446304612
2597,5000726,2831.720,807.143,,,15.602500000000001,0.0060,14.785000000000002,0.0113,1.6400,-0.3440,149.9594418155917,5.21799225152176
2632,25673,949.753,819.094,21.854,0.2105,,,21.153000000000002,0.1761,1.1350,-0.3975,150.04343270193425,5.218519909867443
2657,329151,3439.855,827.933,17.88,0.0358,18.3875,0.0099,17.741,0.0149,1.1957,-1.3143,149.93230112250188,5.2189149925405856
2662,329320,4572.618,829.698,21.596999999999998,0.2354,,,24.686,0.2153,0.9250,3.8910,149.88174669527012,5.218987994155426
2667,329269,558.855,831.071,21.942,0.2437,,,20.778000000000002,0.1889,1.4050,3.3360,150.06087826186734,5.219050093386188
2757,329934,3000.798,854.173,22.085,0.2252,,,21.159000000000002,0.1900,1.1150,-1.9550,149.95189590543066,5.220082232501062
2762,330136,590.415,854.984,22.152,0.2452,,,21.323,0.2493,1.1650,0.4330,150.05946990817466,5.220113077061251
2763,25947,3573.483,855.209,17.131999999999998,0.0432,,,18.151,0.1438,2.2150,2.4445,149.92633729750895,5.22012682172601
2771,330075,132.219,856.832,21.605,0.2579,,,20.141000000000002,0.2650,2.5200,-0.7400,150.07991890150825,5.220192151535056
2821,330533,1389.507,865.475,21.828,0.1804,,,21.161,0.2031,1.0450,0.8370,150.0238069583754,5.220583093128889
2922,27370,3566.023,877.845,15.058,0.0833,,,16.294,0.1040,10.1450,0.0865,149.92667015349178,5.2211328871393565
2968,330875,3595.132,885.688,14.046,0.1440,,,12.489,0.0751,31.6330,0.8600,149.92537100537277,5.221481362444205
2975,5000789,1161.300,886.935,,,23.4795,0.2163,21.639,0.2690,0.7550,-0.1410,150.03399180146238,5.221536000102256
2993,27877,3595.465,890.428,13.506,0.0970,,,12.985000000000001,0.0529,23.9420,-0.7050,149.92535612665046,5.221692026983072
3005,331717,3592.356,892.553,14.107,0.1889,,,12.162,0.0779,31.9550,-0.0170,149.92549487221893,5.221786481905509
3029,28107,3593.661,897.402,14.433,0.1416,,,12.884,0.0484,23.2355,-3.6980,149.92543661321392,5.222001987467038
3085,28145,4768.090,905.466,20.392,0.1371,,,19.419,0.1896,2.9400,4.5405,149.87302236829754,5.222354093250369
3102,331639,1609.254,908.258,21.828,0.1882,,,21.562,0.2562,1.1100,0.5060,150.0139998895979,5.222485230552957
3133,331630,4764.006,913.064,20.666,0.1670,,,20.1,0.2955,2.8650,2.2325,149.87320457894054,5.22269180963152
3143,331846,4769.633,914.756,20.476,0.1371,,,19.869,0.2450,2.7450,4.3275,149.87295343624007,5.222766968662874
3184,28514,4769.454,921.118,20.335,0.1227,,,19.861,0.2608,2.8000,4.3090,149.87296137781968,5.223049723907216
3220,28696,4770.932,928.350,20.39,0.1335,,,19.55,0.1737,2.5600,1.0630,149.8728953618103,5.22337113364888
3232,5000819,1654.923,932.147,,,23.5155,0.2301,21.528000000000002,0.2682,0.8450,-0.0285,150.0119617640813,5.223547081440375
3242,28617,1543.112,934.518,22.378,0.2803,,,21.342000000000002,0.2044,0.9250,0.3130,150.01695186019583,5.223652148125736
3245,332498,4770.633,935.763,20.288999999999998,0.1239,,,19.57,0.1980,2.8050,2.8060,149.87290865113366,5.22370060062065
3258,332566,1676.121,939.201,21.559,0.1576,22.7135,0.1058,21.375,0.2563,1.0487,0.0803,150.01101572245452,5.223860645679279
3266,29177,3723.991,941.117,21.791999999999998,0.1908,,,21.445,0.1540,1.2620,3.6000,149.91961986826485,5.223944383648832
3314,333132,4358.769,957.721,18.294,0.0216,18.9375,0.0103,18.115000000000002,0.0209,0.8400,0.0883,149.89128984032132,5.224679212399759
