,ID,X,Y,K,K_err,J,J_err,H,H_err,chi,sharp,ra,dec
4041,286176,3603.116,6626.788,20.584,0.3334,21.954,0.0402,21.5495,0.3492,3.5417,0.1703,16.15059583714547,2.0196742768268168
4073,286182,4182.388,6628.744,19.398,0.1586,20.223999999999997,0.0234,19.7925,0.1174,3.4283,-0.1943,16.124834454820444,2.0197600981606363
4182,286200,3319.889,6635.882,18.71,0.1155,19.571999999999996,0.0200,18.9105,0.0695,3.7053,-0.3437,16.163191503371092,2.020078849339844
4238,99846,3787.251,6639.224,21.057,0.3788,21.992999999999995,0.0412,21.912499999999998,0.7216,3.5383,-0.4200,16.142406962677835,2.020226678006856
4325,286238,3711.004,6645.207,19.139,0.1130,20.083999999999996,0.0223,19.3265,0.0948,3.2950,-1.0590,16.145797810553205,2.020492721850741
4389,286254,1436.278,6648.557,17.32,0.0470,18.268,0.0238,17.4685,0.0329,3.3623,-0.1170,16.24695957659334,2.0206423289405553
4394,100151,2171.507,6648.760,20.782,0.6043,,0.2250,27.1025,0.3688,1.7467,6.0070,16.214262418008506,2.0206518073438353
4526,5000176,3347.302,6658.415,,,20.986999999999995,0.0292,20.8175,0.2228,2.6780,-0.0895,16.16197236368347,2.0210802810065824
4549,286299,1497.316,6660.825,17.658,0.0438,18.442,0.0226,17.9665,0.0413,3.1083,0.3220,16.244245102712313,2.021187635793823
4617,286317,3569.659,6667.070,20.847,0.4759,21.781,0.0339,23.0595,1.3370,2.7963,0.3037,16.152083677176226,2.021464637609871
4621,100550,1749.739,6667.528,16.697000000000003,0.0190,17.923,0.0104,17.3515,0.0192,1.8183,0.0713,16.23301933034479,2.021485758720896
4642,100682,3388.860,6669.224,18.353,0.0686,18.531,0.0155,18.272499999999997,0.0380,3.0493,-0.6350,16.160124179828276,2.02156062720358
4656,100788,3630.919,6671.142,21.578,0.7606,22.406,0.0506,21.7895,0.4959,3.0813,-0.0367,16.149359312406983,2.021645519278176
